,Node,Degree,Strenght,Clustering coefficient,Average path length,Maximum path length,Betweenness,Eigenvector centrality,PageRank
0,AAA,2,92.0,1.0,4.51575456053068,12,0.0,8.971987484626798e-05,6.473711148322074e-05
1,AAE,6,7284.0,0.7333333333333333,3.6766169154228856,11,6.38929940761585e-05,0.00591556214773805,0.00021962507650763412
2,AAL,3,13071.0,1.0,3.9093421779988944,11,0.0,0.0033188593262726365,0.00018345498136494582
3,AAN,11,3224.5,0.6727272727272727,3.9267551133222773,11,1.0121500192402107e-05,0.006981236005188083,9.870093833398147e-05
4,AAQ,10,1690.0,0.3333333333333333,3.8090105030403536,11,2.0026213953109347e-05,0.0065651623749461005,9.258277796055348e-05
5,AAR,6,11653.0,0.9333333333333333,3.599778883360973,11,1.6990671985154773e-08,0.009106784140179793,0.0001635669681613767
6,AAT,1,28.5,0.0,4.681315644002211,12,0.0,0.00012469778186270222,4.217229343544959e-05
7,AAU,1,38.0,0.0,5.630458817025981,13,0.0,8.653379660579146e-07,5.063855475099908e-05
8,AAY,4,646.0,0.8333333333333334,4.516583747927031,12,6.116641914655719e-08,0.000595300943555973,7.32342601393423e-05
9,ABA,1,164.0,0.0,4.8711995577667215,12,0.0,6.833643914785442e-05,4.812931392042387e-05
10,ABD,4,2918.0,0.8333333333333334,3.954947484798231,11,3.0273923929231926e-06,0.0023817534655408592,0.00011169017392690762
11,ABE,14,21783.0,0.9230769230769231,3.644831398562742,12,2.2698031935673167e-06,0.020780373944665215,0.00019116621684510472
12,ABI,3,2582.0,1.0,3.931177446102819,12,0.0,0.0035480512133923225,5.877716138282066e-05
13,ABJ,28,25044.5,0.3544973544973545,3.4654505251520176,11,0.00095032790903621,0.02444291808409293,0.0006233111674946544
14,ABK,3,250.0,1.0,5.426755113322278,13,0.0,7.831693569828919e-06,0.00012533242718944777
15,ABL,4,278.0,0.6666666666666666,5.1907131011608625,13,2.7479013801590816e-06,6.2993887630963595e-06,0.00014006448321977883
16,ABM,3,268.0,0.3333333333333333,4.463239358761747,10,0.000275758606319062,8.994827428238668e-05,7.104828566368607e-05
